source_domain,lookalike_domain,same_ip_domain,screenshot,crypto_address,chain,discovery_method,source_domain_ip,lookalike_domain_ip,same_ip_domain_ip,inreach_checked,inreach_intel_available,inreach_intel_summary
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,0x184517198110570b6cde722633bf7221a345624d,eth,lookalike_source,209.222.98.191,209.222.98.191,,No,No,
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,0x20a02285b49c7fb02cd2d241c3f91fed2c2d7943,eth,lookalike_source,209.222.98.191,209.222.98.191,,No,No,
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,TV8fvzJEp42LBuV99ULS5DnjT1sbyjsyFP,tron,lookalike_source,209.222.98.191,209.222.98.191,,No,No,
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,THfsaswgG8Mfmc1pigqmeyzZcJS4hVaP8k,tron,lookalike_source,209.222.98.191,209.222.98.191,,No,No,
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1qmqvnc30pw0cp6gcf963kuzdyaptxmlvt67m6f3,btc,lookalike_source,209.222.98.191,209.222.98.191,,No,No,
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1qhvmztcsrz08enlqc2q2ljucmt47zxhuk2kg8zs,btc,lookalike_source,209.222.98.191,209.222.98.191,,No,No,
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1q5j6uxjyq7xnyzmhjz7jxtmtlja67h5km9ev5h8,btc,lookalike_source,209.222.98.191,209.222.98.191,,No,No,
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,0x67d33c0396f91fc3c4290c48dbb4f22705ec525b,eth,lookalike_source,209.222.98.191,209.222.98.191,,No,No,
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,0x184517198110570b6cde722633bf7221a345624d,eth,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,0x20a02285b49c7fb02cd2d241c3f91fed2c2d7943,eth,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,TV8fvzJEp42LBuV99ULS5DnjT1sbyjsyFP,tron,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,THfsaswgG8Mfmc1pigqmeyzZcJS4hVaP8k,tron,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1qmqvnc30pw0cp6gcf963kuzdyaptxmlvt67m6f3,btc,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1qhvmztcsrz08enlqc2q2ljucmt47zxhuk2kg8zs,btc,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1q5j6uxjyq7xnyzmhjz7jxtmtlja67h5km9ev5h8,btc,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,0x67d33c0396f91fc3c4290c48dbb4f22705ec525b,eth,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
herohex.com,herohex.com,,https://urlscan.io/screenshots/bc983d85-b7d4-4f4e-882e-37b07c7acb01.png,0xc9c39dff72f0bb6680ca1c85e0da0e12e1847071,eth,lookalike_source,UNRESOLVED,UNRESOLVED,,No,No,
herohex.com,herohex.com,,https://urlscan.io/screenshots/bc983d85-b7d4-4f4e-882e-37b07c7acb01.png,bc1qjdvanfwx2xp934ucwlns2j936fcqx27yed4lev,btc,lookalike_source,UNRESOLVED,UNRESOLVED,,No,No,
herohex.com,herohex.com,,https://urlscan.io/screenshots/bc983d85-b7d4-4f4e-882e-37b07c7acb01.png,bc1qv44w7x5eatcc5wd5s9yaclwje86w2vs2f8x9pu,btc,lookalike_source,UNRESOLVED,UNRESOLVED,,No,No,
herohex.com,herohex.com,,https://urlscan.io/screenshots/bc983d85-b7d4-4f4e-882e-37b07c7acb01.png,TRDUbkJB7ijnU6dgwhDqYEpP36bS77LiiH,tron,lookalike_source,UNRESOLVED,UNRESOLVED,,No,No,
